category_tree,product_sku,product_name,old_price,current_price,image_list,product_detail,sizes,colorlist
Home > Shop > Home Appliances > Sandwich Maker > Club Class Sandwich Maker,SM009CL,Club Class Sandwich Maker,"2,199.00","1,769.00","https://www.swissmilitaryindia.com/wp-content/uploads/2022/07/SM009CL.1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/07/SM009CL.2-150x171.jpg","{'EAN ': '8904410820215', 'Colour :': ' Black'}",,
Home > Shop > Home Appliances > Irons > Grandeur Black-Red Dry Iron- 1000 Watts,GRANDEUR_DI_BLK-RED,Grandeur Black-Red Dry Iron- 1000 Watts,"1,495.00","1,196.00","https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/Grandeur_1-150x152.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/Grandeur_2-150x150.png,https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/Grandeur-01-scaled-150x96.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/Grandeur-02-scaled-150x96.jpg","{'EAN ': '8904410821304', 'Colour :': ' Black & Red', 'Size :': ' L:10.2 x W:4.3 x H:5.5 (inch) Approx.', 'Weight (In Kgs.) :': ' 0.600 Kg (Approx.)', 'Supports :': ' Iron Cord: 65 (Inch) Approx.'}",,
Home > Shop > Home Appliances > Ceiling Fans > Gale Ceiling Fan,Gale Ceiling Fan,Gale Ceiling Fan,"3,499.00","2,800.00","https://www.swissmilitaryindia.com/wp-content/uploads/2022/11/Gale_Brown-3-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/11/Gale_wht-1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/11/Gale_Brown-5-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/11/Gale_wht-3-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/11/Gale_Brown-1-150x171.jpg","{'EAN ': '8904410802174', 'Colour :': ' Smoke Brown', 'Size :': ' 1200 mm Approx.', 'Capacity :': ' 75 Watts'}",,"smoking brown,White"
Home > Shop > BAGS > Sling Bags > PLB6 – Premium Leatherette Laptop Sling Bag,PLB6,PLB6 – Premium Leatherette Laptop Sling Bag,"2,190.00","1,424.00","https://www.swissmilitaryindia.com/wp-content/uploads/2022/09/Swiss-Military-31-1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/09/PLB6-6-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/09/PLB6-7-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/09/PLB6-9-150x171.jpg","{'EAN ': '8905012012589', 'Colour :': ' Navy Blue & Brown', 'Size :': ' L:42 x W:32 x H:7 (cm) Approx.', 'Weight (In Kgs.) :': ' 0.770 Kg (Approx.)', 'Material :': ' Leatherette.', 'Gender :': ' Unisex', 'Capacity :': ' 11L (Approx.)', 'Shoulder Straps :': ' One handle with detachable sling strap'}",,
Home > Shop > BAGS > Sling Bags > PLB5 – Premium Leatherette Laptop Sling Bag,PLB5,PLB5 – Premium Leatherette Laptop Sling Bag,"2,190.00","1,424.00","https://www.swissmilitaryindia.com/wp-content/uploads/2022/09/PLB5_1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/09/PLB5-CREATIVE-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/09/PLB5_3-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/09/PLB5_4-3-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/09/PLB5_4-5-150x150.jpg","{'EAN ': '8905012012022', 'Colour :': ' Brown & Blue', 'Size :': ' L:42 x W:32 x H:7 (cm) Approx.', 'Weight (In Kgs.) :': ' 0.770 Kg (Approx.)', 'Material :': ' Leatherette.', 'Gender :': ' Unisex', 'Capacity :': ' 11L (Approx.)', 'Shoulder Straps :': ' One handle with detachable sling strap'}",,
Home > Shop > BAGS > Laptop Backpacks > LBP96 – Swiss Military Camouflage Print Multi Utility Backpack,LBP96,LBP96 – Swiss Military Camouflage Print Multi Utility Backpack,"2,640.00","1,426.00","https://www.swissmilitaryindia.com/wp-content/uploads/2022/08/LBP96.1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/08/LBP96.3-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/08/02-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/08/LBP96.2-150x171.jpeg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/08/LBP96.4-150x171.jpeg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/08/LBP96.5-150x171.jpeg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/08/07-150x171.jpeg","{'EAN ': '8905012012671', 'Colour :': ' Black', 'Size :': ' L:30 x W:23 x H:46 (cm) Approx.', 'Weight (In Kgs.) :': ' 0.500 Kg (Approx.)', 'Brand Logo :': ' Printed', 'Fabric :': ' Polyester', 'Shoulder Straps :': ' Adjustable strap.'}",,
Home > Shop > BAGS > Duffle Cum Gym Bags > DB8 – Duffle Cum Gym Bag,DB8,DB8 – Duffle Cum Gym Bag,"1,990.00","1,035.00","https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/DB8.1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/DB8.8-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/DB8.3-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/DB8.4-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/DB8.5-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/05/DB8.6-150x171.jpg","{'EAN ': '8905012011575', 'Colour :': ' Black', 'Size :': ' 47 x 25 x 25 cm (Approx.)', 'Weight (In Kgs.) :': ' 0.470 Kg (Approx.)', 'Material :': ' 70WR Polyester', 'Gender :': ' Unisex', 'Capacity :': ' 29 L (Approx.)', 'Additional Features :': ' Easy To carry with adjustable shoulder strap'}",,
Home > Shop > BAGS > Sling Bags > PLB4 – Premium Leatherette Laptop Sling Bag,PLB4,PLB4 – Premium Leatherette Laptop Sling Bag,"1,990.00","1,354.00","https://www.swissmilitaryindia.com/wp-content/uploads/2022/02/PLB4.1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/02/PLB4.5-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/02/PLB4.2-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/02/PLB4.3-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/02/PLB4.4-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2022/02/PLB4.6-150x171.jpg","{'EAN ': '8905012010226', 'Colour :': ' Black', 'Size :': ' L:40 x W:09 x H:31 cm (Approx.)', 'Weight (In Kgs.) :': ' 0.6 Kg (Approx.)', 'Material :': ' Leatherette.', 'Capacity :': ' 11L (Approx.)'}",,
Home > Shop > TRAVEL ACCESSORIES > Organizers > TB9 – Utility Toiletry Bag,TB9,TB9 – Utility Toiletry Bag,"1,490.00",969.00,"https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/TB9.1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/TB9-2-1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/TB9.3-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/TB9.5-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/TB9.6-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/TB9.7-150x150.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/TB9-150x171.jpg","{'EAN ': '8905012010028', 'Colour :': ' Grey', 'Size :': ' L:26 x W:9 x H:23 cm (Approx)', 'Weight (In Kgs.) :': ' 0.2 Kg (Approx.)', 'Brand Logo :': ' Swiss Military name and logo Printed', 'Material :': ' 1080D Polyester', 'Gender :': ' Unisex'}",,
Home > Shop > BAGS > Sling Bags > LB12 – Protective Laptop Sleeve Sling Case,LB12,LB12 – Protective Laptop Sleeve Sling Case,"1,390.00",723.00,"https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/LB12.1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/lb12-2-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/LB12.1-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/LB12.2-1-scaled-150x150.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/LB12.3-scaled-150x150.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/LB12.4-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/LB12.5-150x171.jpg,https://www.swissmilitaryindia.com/wp-content/uploads/2021/11/LB12.6-150x171.jpg","{'EAN ': '8905012009091', 'Colour :': ' Black', 'Size :': ' L:39 x W:3 x H:31(cm) Approx.', 'Weight (In Kgs.) :': ' 0.3 Kg (Approx.)', 'Material :': ' Neoprene'}",,
